Tier Name,Monthly Price,Posts/Month,Platforms,Tracking - Click,Tracking - Phone,Reporting Frequency,Reporting Type,Engagement,Add-ons Included,One Time Setup Fee,Notes
Starter Launch,$34.99,12,1,Yes - Basic,$10 add on,Monthly,Email summary report,Basic replies (24hr),None,$15,First 25 clients only - max 3 months at $29 promo price
Starter,$49,12,1,Yes - Basic,$10 add on,Monthly,Email summary report,Basic replies,None,$15,Entry level after Launch ends
Standard,$79,24,2,Yes - Full,Yes,Bi-weekly,Detailed email,Same-day replies,None,$25,Growth tier
Pro,$129,2 per day per platform max,5,Yes - Full + UTM,Yes,Weekly,Dashboard + Email,Full DM/Comment mgmt,Email sequence + Review response,$99,Full feature small business
Full Service,$199,2 per day per platform max + Dedicated AI,5,Full + Custom dashboard,Yes,Real-time + Weekly,24/7 Dashboard access,24/7 AI response,Everything included,$500,AI runs their marketing - dedicated bot
Enterprise,Custom,Unlimited,5,Custom,Custom,Daily,White-label dashboard,24/7 + Human support,Everything + Custom integrations,Custom,Multi-location or campaigns
,,,,,,,,,,,
,,,,,Note: all phone tracking has forwarding.,,,,Note: what are custom integrations?,,Need full list of add ons so tiers that don't have them included can look at them.
,,,,,,,,,,,
,,,,,,,,,,,
monday,5,,,,,,,,,,
tuesday,,,,,,,,,,,
wednesday,5,,,,,,,,,,
thursday,,,,,,,,,,,
friday,5,,,,,,,,,,
saturday,,,,,,,,,,,
sunday,5,,,,,,,,,,
total,20,,,,,,,,,,
